time,channel_id,center_frequency_mhz,power
1974-12-01 00:02:00,16,0.475,-99.95432247624426
1974-12-01 00:02:00,17,0.6,-100.06619259410667
1974-12-01 00:02:00,18,0.737,-100.0363053846565
1974-12-01 00:02:00,19,0.87,-100.03817378939983
1974-12-01 00:02:00,20,1.03,-100.1195839645589
1974-12-01 00:02:00,21,1.27,-99.95130275192145
1974-12-01 00:02:00,22,1.45,-100.04694023402027
1974-12-01 00:02:00,23,1.85,-99.99875058812724
1974-12-01 00:02:00,24,2.2,-99.9519253341094
1974-12-01 00:02:00,25,2.8,-99.95534688239701
1974-12-01 00:02:00,26,3.93,-99.93346148910273
1974-12-01 00:02:00,27,4.7,-100.00984854845095
1974-12-01 00:02:00,28,6.55,-100.04232983120441
1974-12-01 00:02:00,29,9.18,-100.00797182109063
1974-12-01 00:02:00,30,11.8,-100.16873344339581
1974-12-01 00:02:00,31,13.1,-100.14471124724231
1974-12-01 00:03:00,0,0.025,-100.13226996123544
1974-12-01 00:03:00,1,0.035,-100.09972468276015
1974-12-01 00:03:00,2,0.044,-99.96002257732766
1974-12-01 00:03:00,3,0.055,-100.090547905536
1974-12-01 00:03:00,4,0.067,-100.03781625540394
1974-12-01 00:03:00,5,0.083,-99.87007717022139
1974-12-01 00:03:00,6,0.096,-100.03562639710614
1974-12-01 00:03:00,7,0.11,-99.9262484431533
1974-12-01 00:03:00,8,0.13,-100.09336176800099
1974-12-01 00:03:00,9,0.155,-100.02054375578676
1974-12-01 00:03:00,10,0.185,-100.09500220549106
1974-12-01 00:03:00,11,0.21,-100.03390330759005
1974-12-01 00:03:00,12,0.25,-99.91596918625426
1974-12-01 00:03:00,13,0.292,-100.17273204231924
1974-12-01 00:03:00,14,0.36,-99.95655763564541
1974-12-01 00:03:00,15,0.425,-99.97622643976678
1974-12-01 00:03:00,16,0.475,-100.05941499556968
1974-12-01 00:03:00,17,0.6,-100.14460578543884
1974-12-01 00:03:00,18,0.737,-99.99278704922861
1974-12-01 00:03:00,19,0.87,-100.05294927090638
1974-12-01 00:03:00,20,1.03,-99.97673237886453
1974-12-01 00:03:00,21,1.27,-99.99781478544766
1974-12-01 00:03:00,22,1.45,-99.83982211086791
1974-12-01 00:03:00,23,1.85,-100.0239355627473
1974-12-01 00:03:00,24,2.2,-100.10234974926219
1974-12-01 00:03:00,25,2.8,-99.98207243650437
1974-12-01 00:03:00,26,3.93,-99.97800033160283
1974-12-01 00:03:00,27,4.7,-99.86408124247596
1974-12-01 00:03:00,28,6.55,-99.91648887540855
1974-12-01 00:03:00,29,9.18,-99.96431289408505
1974-12-01 00:03:00,30,11.8,-99.85366971087804
1974-12-01 00:03:00,31,13.1,-100.11887630543228
1974-12-01 00:04:00,0,0.025,-100.06397515327498
1974-12-01 00:04:00,1,0.035,-100.09265759414055
1974-12-01 00:04:00,2,0.044,-100.03898098031557
1974-12-01 00:04:00,3,0.055,-100.13766861475563
1974-12-01 00:04:00,4,0.067,-99.93648490531857
1974-12-01 00:04:00,5,0.083,-100.02222226970987
1974-12-01 00:04:00,6,0.096,-100.14708062945027
1974-12-01 00:04:00,7,0.11,-100.10155790812075
1974-12-01 00:04:00,8,0.13,-99.96864861525498
1974-12-01 00:04:00,9,0.155,-99.91618734321057
1974-12-01 00:04:00,10,0.185,-99.80032691083082
1974-12-01 00:04:00,11,0.21,-99.70861375339926
1974-12-01 00:04:00,12,0.25,-99.9585590566724
1974-12-01 00:04:00,13,0.292,-100.09895381200319
1974-12-01 00:04:00,14,0.36,-100.21320462807313
1974-12-01 00:04:00,15,0.425,-99.97322885376562
1974-12-01 00:04:00,16,0.475,-100.08129410953103
1974-12-01 00:04:00,17,0.6,-100.04153572601797
1974-12-01 00:04:00,18,0.737,-100.06120967990599
1974-12-01 00:04:00,19,0.87,-100.01407908864164
1974-12-01 00:04:00,20,1.03,-99.89340197692124
1974-12-01 00:04:00,21,1.27,-99.98429514325547
1974-12-01 00:04:00,22,1.45,-100.01586348370387
1974-12-01 00:04:00,23,1.85,-100.10356537528259
1974-12-01 00:04:00,24,2.2,-100.16746829447044
1974-12-01 00:04:00,25,2.8,-100.04863079090734
1974-12-01 00:04:00,26,3.93,-100.00537825508184
1974-12-01 00:04:00,27,4.7,-99.82320700864202
1974-12-01 00:04:00,28,6.55,-99.98697254785272
1974-12-01 00:04:00,29,9.18,-99.9017260488977
1974-12-01 00:04:00,30,11.8,-100.04992955985392
1974-12-01 00:04:00,31,13.1,-100.1184943766417
1974-12-01 00:05:00,0,0.025,-100.09651167622324
1974-12-01 00:05:00,1,0.035,-100.07252260645357
1974-12-01 00:05:00,2,0.044,-99.78715302675649
1974-12-01 00:05:00,3,0.055,-100.08213866792244
1974-12-01 00:05:00,4,0.067,-99.91615107962636
1974-12-01 00:05:00,5,0.083,-100.09029271780871
1974-12-01 00:05:00,6,0.096,-99.90684269871258
1974-12-01 00:05:00,7,0.11,-99.96150490338941
1974-12-01 00:05:00,8,0.13,-100.01566378976581
1974-12-01 00:05:00,9,0.155,-100.00407625261354
1974-12-01 00:05:00,10,0.185,-100.06547876954293
1974-12-01 00:05:00,11,0.21,-99.95539277985179
1974-12-01 00:05:00,12,0.25,-100.04549834803407
1974-12-01 00:05:00,13,0.292,-100.12256057637673
1974-12-01 00:05:00,14,0.36,-100.12779375743196
1974-12-01 00:05:00,15,0.425,-99.9827412082278
1974-12-01 00:05:00,16,0.475,-99.84209087435896
1974-12-01 00:05:00,17,0.6,-99.98400083864266
1974-12-01 00:05:00,18,0.737,-100.01186383261098
1974-12-01 00:05:00,19,0.87,-99.97141738603975
1974-12-01 00:05:00,20,1.03,-99.86939982582932
1974-12-01 00:05:00,21,1.27,-99.97806174986361
1974-12-01 00:05:00,22,1.45,-100.04109272308338
1974-12-01 00:05:00,23,1.85,-99.88937112899401
1974-12-01 00:05:00,24,2.2,-99.95712435615384
1974-12-01 00:05:00,25,2.8,-99.8464244008004
1974-12-01 00:05:00,26,3.93,-99.9816765562778
1974-12-01 00:05:00,27,4.7,-100.12244690317205
1974-12-01 00:05:00,28,6.55,-100.13681591992457
1974-12-01 00:05:00,29,9.18,-99.83490720677688
1974-12-01 00:05:00,30,11.8,-99.82763342792167
1974-12-01 00:05:00,31,13.1,-100.01795192132826
1974-12-01 00:06:00,0,0.025,-100.0383187321136
1974-12-01 00:06:00,1,0.035,-99.85385557077578
1974-12-01 00:06:00,2,0.044,-100.11070456820435
1974-12-01 00:06:00,3,0.055,-100.08947270189559
1974-12-01 00:06:00,4,0.067,-99.9356673205311
1974-12-01 00:06:00,5,0.083,-100.03946051228596
1974-12-01 00:06:00,6,0.096,-100.00051218667201
1974-12-01 00:06:00,7,0.11,-100.01634428985246
1974-12-01 00:06:00,8,0.13,-99.96624254512011
1974-12-01 00:06:00,9,0.155,-99.85925181386862
1974-12-01 00:06:00,10,0.185,-99.99094150930982
1974-12-01 00:06:00,11,0.21,-99.93560612067232
1974-12-01 00:06:00,12,0.25,-100.20501721010311
1974-12-01 00:06:00,13,0.292,-100.00487184019302
1974-12-01 00:06:00,14,0.36,-100.08432302702928
1974-12-01 00:06:00,15,0.425,-100.12188130604237
1974-12-01 00:06:00,16,0.475,-100.08781523669288
1974-12-01 00:06:00,17,0.6,-100.03341234407009
1974-12-01 00:06:00,18,0.737,-99.9084097457644
1974-12-01 00:06:00,19,0.87,-100.13263927177395
1974-12-01 00:06:00,20,1.03,-99.99693685074055
1974-12-01 00:06:00,21,1.27,-100.04841694333336
1974-12-01 00:06:00,22,1.45,-100.0327673094362
1974-12-01 00:06:00,23,1.85,-99.89972421746954
1974-12-01 00:06:00,24,2.2,-99.94618845629961
1974-12-01 00:06:00,25,2.8,-99.86626018925573
1974-12-01 00:06:00,26,3.93,-100.01545056792499
1974-12-01 00:06:00,27,4.7,-100.06959426116707
1974-12-01 00:06:00,28,6.55,-100.02238588168805
1974-12-01 00:06:00,29,9.18,-99.97575032087288
1974-12-01 00:06:00,30,11.8,-99.98234266415463
1974-12-01 00:06:00,31,13.1,-100.10843880722334
1974-12-01 00:07:00,0,0.025,-99.99095102183722
1974-12-01 00:07:00,1,0.035,-99.97717716698611
1974-12-01 00:07:00,2,0.044,-99.7482525962466
1974-12-01 00:07:00,3,0.055,-99.81231553887183
1974-12-01 00:07:00,4,0.067,-100.08532433505589
1974-12-01 00:07:00,5,0.083,-100.02873833615492
1974-12-01 00:07:00,6,0.096,-100.1463442001837
1974-12-01 00:07:00,7,0.11,-100.05907070139635
1974-12-01 00:07:00,8,0.13,-99.96843949964097
1974-12-01 00:07:00,9,0.155,-99.87941463791118
1974-12-01 00:07:00,10,0.185,-100.07290838377436
1974-12-01 00:07:00,11,0.21,-100.06541464400678
1974-12-01 00:07:00,12,0.25,-100.21472890297386
1974-12-01 00:07:00,13,0.292,-100.01626659205449
1974-12-01 00:07:00,14,0.36,-100.10624144118596
1974-12-01 00:07:00,15,0.425,-100.0529439427366
1974-12-01 00:07:00,16,0.475,-100.08768607781676
1974-12-01 00:07:00,17,0.6,-100.00942625542525
1974-12-01 00:07:00,18,0.737,-100.17577283913566
1974-12-01 00:07:00,19,0.87,-100.1467045245391
1974-12-01 00:07:00,20,1.03,-99.78707528879717
1974-12-01 00:07:00,21,1.27,-100.1287422581274
1974-12-01 00:07:00,22,1.45,-100.10967855784547
1974-12-01 00:07:00,23,1.85,-99.81630864716787
1974-12-01 00:07:00,24,2.2,-99.70949328307596
1974-12-01 00:07:00,25,2.8,-100.11715666288254
1974-12-01 00:07:00,26,3.93,-100.0368248956788
1974-12-01 00:07:00,27,4.7,-99.96584444490595
1974-12-01 00:07:00,28,6.55,-99.82713023555944
1974-12-01 00:07:00,29,9.18,-100.09868570784282
1974-12-01 00:07:00,30,11.8,-100.02452778459421
1974-12-01 00:07:00,31,13.1,-99.92226624239383
1974-12-01 00:08:00,0,0.025,-99.95652339255334
1974-12-01 00:08:00,1,0.035,-100.03761560712302
1974-12-01 00:08:00,2,0.044,-100.01338229645161
1974-12-01 00:08:00,3,0.055,-100.137489580837
1974-12-01 00:08:00,4,0.067,-100.02381737439747
1974-12-01 00:08:00,5,0.083,-100.0266387490009
1974-12-01 00:08:00,6,0.096,-99.97678301103737
1974-12-01 00:08:00,7,0.11,-100.0555327218819
1974-12-01 00:08:00,8,0.13,-99.95284614774549
1974-12-01 00:08:00,9,0.155,-99.89872841821801
1974-12-01 00:08:00,10,0.185,-99.98445706723315
1974-12-01 00:08:00,11,0.21,-99.96482435916008
1974-12-01 00:08:00,12,0.25,-99.99468446524222
1974-12-01 00:08:00,13,0.292,-99.99999156069086
1974-12-01 00:08:00,14,0.36,-100.07215580335428
1974-12-01 00:08:00,15,0.425,-99.96835057383267
1974-12-01 00:08:00,16,0.475,-100.00972865984134
1974-12-01 00:08:00,17,0.6,-99.79068316910694
1974-12-01 00:08:00,18,0.737,-99.84266450975248
1974-12-01 00:08:00,19,0.87,-99.96141534474435
1974-12-01 00:08:00,20,1.03,-100.07630572096947
1974-12-01 00:08:00,21,1.27,-100.11124114719834
1974-12-01 00:08:00,22,1.45,-99.88088570469111
1974-12-01 00:08:00,23,1.85,-99.97372507748528
1974-12-01 00:08:00,24,2.2,-99.95198565966083
1974-12-01 00:08:00,25,2.8,-100.17445859869741
1974-12-01 00:08:00,26,3.93,-99.90725615184418
1974-12-01 00:08:00,27,4.7,-99.95455796617857
1974-12-01 00:08:00,28,6.55,-100.11104306844145
1974-12-01 00:08:00,29,9.18,-100.047152480745
1974-12-01 00:08:00,30,11.8,-99.97362827956435
1974-12-01 00:08:00,31,13.1,-99.99475332016438
1974-12-01 00:09:00,0,0.025,-100.02921711858036
1974-12-01 00:09:00,1,0.035,-100.01034882680659
1974-12-01 00:09:00,2,0.044,-100.02519773782069
1974-12-01 00:09:00,3,0.055,-99.98474374878975
1974-12-01 00:09:00,4,0.067,-99.85285080270069
1974-12-01 00:09:00,5,0.083,-100.25666584409313
1974-12-01 00:09:00,6,0.096,-100.02368502645096
1974-12-01 00:09:00,7,0.11,-99.98234875786275
1974-12-01 00:09:00,8,0.13,-99.97040060103129
1974-12-01 00:09:00,9,0.155,-100.03719145813213
1974-12-01 00:09:00,10,0.185,-100.17567217824786
1974-12-01 00:09:00,11,0.21,-99.96720045162859
1974-12-01 00:09:00,12,0.25,-99.82726497858359
1974-12-01 00:09:00,13,0.292,-100.15338614049162
1974-12-01 00:09:00,14,0.36,-99.91361719863018
1974-12-01 00:09:00,15,0.425,-100.03285252231228
1974-12-01 00:09:00,16,0.475,-100.00613243458288
1974-12-01 00:09:00,17,0.6,-100.1052898510704
1974-12-01 00:09:00,18,0.737,-100.03344561723559
1974-12-01 00:09:00,19,0.87,-99.8699955405301
1974-12-01 00:09:00,20,1.03,-99.94173447580123
1974-12-01 00:09:00,21,1.27,-99.826768839459
1974-12-01 00:09:00,22,1.45,-99.88225881110223
1974-12-01 00:09:00,23,1.85,-99.95609133210704
1974-12-01 00:09:00,24,2.2,-99.82560654738322
1974-12-01 00:09:00,25,2.8,-99.95610068412617
1974-12-01 00:09:00,26,3.93,-99.9172011823203
1974-12-01 00:09:00,27,4.7,-100.02965709535347
1974-12-01 00:09:00,28,6.55,-99.99334541841408
1974-12-01 00:09:00,29,9.18,-100.06974238233003
1974-12-01 00:09:00,30,11.8,-99.90104160654052
1974-12-01 00:09:00,31,13.1,-100.11783036231148
1974-12-01 00:10:00,0,0.025,-99.92176496575823
1974-12-01 00:10:00,1,0.035,-100.01906510575051
1974-12-01 00:10:00,2,0.044,-99.88287529065327
1974-12-01 00:10:00,3,0.055,-99.92491310112688
1974-12-01 00:10:00,4,0.067,-99.81793538423533
1974-12-01 00:10:00,5,0.083,-99.92692253088613
1974-12-01 00:10:00,6,0.096,-100.15720402556532
1974-12-01 00:10:00,7,0.11,-100.00669531728983
1974-12-01 00:10:00,8,0.13,-100.11720071925949
1974-12-01 00:10:00,9,0.155,-100.05182798423662
1974-12-01 00:10:00,10,0.185,-100.84887715667233
1974-12-01 00:10:00,11,0.21,-100.93624661891023
1974-12-01 00:10:00,12,0.25,-101.06989304285787
1974-12-01 00:10:00,13,0.292,-100.10137173664404
1974-12-01 00:10:00,14,0.36,-99.99672179071237
1974-12-01 00:10:00,15,0.425,-100.12165601493811
1974-12-01 00:10:00,16,0.475,-100.06711402773966
1974-12-01 00:10:00,17,0.6,-99.96879905284487
1974-12-01 00:10:00,18,0.737,-99.88446879638933
1974-12-01 00:10:00,19,0.87,-99.93912385277756
1974-12-01 00:10:00,20,1.03,-100.22912895085982
1974-12-01 00:10:00,21,1.27,-99.96956332709698
1974-12-01 00:10:00,22,1.45,-99.99279664267674
1974-12-01 00:10:00,23,1.85,-99.95861097146273
1974-12-01 00:10:00,24,2.2,-99.83837903183488
1974-12-01 00:10:00,25,2.8,-100.20632382768048
1974-12-01 00:10:00,26,3.93,-100.0591103425191
1974-12-01 00:10:00,27,4.7,-99.94090936772066
1974-12-01 00:10:00,28,6.55,-100.1581594399454
1974-12-01 00:10:00,29,9.18,-99.85240509519465
1974-12-01 00:10:00,30,11.8,-99.96316433872994
1974-12-01 00:10:00,31,13.1,-99.91534160141566
1974-12-01 00:11:00,0,0.025,-100.05709436615219
1974-12-01 00:11:00,1,0.035,-99.91862363100338
1974-12-01 00:11:00,2,0.044,-99.8931528444011
1974-12-01 00:11:00,3,0.055,-99.97671219798629
1974-12-01 00:11:00,4,0.067,-99.97655991073013
1974-12-01 00:11:00,5,0.083,-99.97296567607182
1974-12-01 00:11:00,6,0.096,-100.08633452647393
1974-12-01 00:11:00,7,0.11,-100.01475286802403
1974-12-01 00:11:00,8,0.13,-100.01525225324524
1974-12-01 00:11:00,9,0.155,-99.96166061356465
1974-12-01 00:11:00,10,0.185,-100.90001757530896
1974-12-01 00:11:00,11,0.21,-101.10585360819785
1974-12-01 00:11:00,12,0.25,-101.01250090303196
1974-12-01 00:11:00,13,0.292,-99.8518544452341
1974-12-01 00:11:00,14,0.36,-100.07435882288125
1974-12-01 00:11:00,15,0.425,-100.08222500172903
1974-12-01 00:11:00,16,0.475,-99.97976938081688
1974-12-01 00:11:00,17,0.6,-99.91556148095147
1974-12-01 00:11:00,18,0.737,-99.99885739444393
1974-12-01 00:11:00,19,0.87,-99.8671039409563
1974-12-01 00:11:00,20,1.03,-99.91432060174334
1974-12-01 00:11:00,21,1.27,-99.915817993311
1974-12-01 00:11:00,22,1.45,-99.94458834986759
1974-12-01 00:11:00,23,1.85,-99.76723468996539
1974-12-01 00:11:00,24,2.2,-100.0205161688866
1974-12-01 00:11:00,25,2.8,-100.20035222920666
1974-12-01 00:11:00,26,3.93,-99.83957456384829
1974-12-01 00:11:00,27,4.7,-100.04576994309568
1974-12-01 00:11:00,28,6.55,-99.9892119555657
1974-12-01 00:11:00,29,9.18,-99.86904493151394
1974-12-01 00:11:00,30,11.8,-100.1602259541059
1974-12-01 00:11:00,31,13.1,-100.12516472141061
1974-12-01 00:12:00,0,0.025,-100.16012779371188
1974-12-01 00:12:00,1,0.035,-100.07941362900254
1974-12-01 00:12:00,2,0.044,-99.9560363393983
1974-12-01 00:12:00,3,0.055,-99.94758121571873
1974-12-01 00:12:00,4,0.067,-99.97237258206714
1974-12-01 00:12:00,5,0.083,-100.14127658838923
1974-12-01 00:12:00,6,0.096,-100.23101034366326
1974-12-01 00:12:00,7,0.11,-99.99456464146097
1974-12-01 00:12:00,8,0.13,-100.04717760336383
1974-12-01 00:12:00,9,0.155,-99.95406142282833
1974-12-01 00:12:00,10,0.185,-100.92980463737787
1974-12-01 00:12:00,11,0.21,-100.98617585679413
1974-12-01 00:12:00,12,0.25,-100.92398669146242
1974-12-01 00:12:00,13,0.292,-99.9770788625885
1974-12-01 00:12:00,14,0.36,-99.94699352943985
1974-12-01 00:12:00,15,0.425,-100.07046732628699
1974-12-01 00:12:00,16,0.475,-100.01796114138314
1974-12-01 00:12:00,17,0.6,-99.98032239033431
1974-12-01 00:12:00,18,0.737,-99.91794715245825
1974-12-01 00:12:00,19,0.87,-100.03937411722245
1974-12-01 00:12:00,20,1.03,-99.94788327442679
1974-12-01 00:12:00,21,1.27,-100.02658387919153
1974-12-01 00:12:00,22,1.45,-100.01175421673281
1974-12-01 00:12:00,23,1.85,-99.9170480957976
1974-12-01 00:12:00,24,2.2,-100.19930603710542
1974-12-01 00:12:00,25,2.8,-100.12964723280747
1974-12-01 00:12:00,26,3.93,-100.14821853974428
1974-12-01 00:12:00,27,4.7,-100.23336161198483
1974-12-01 00:12:00,28,6.55,-100.06782644401552
1974-12-01 00:12:00,29,9.18,-99.92505661002723
1974-12-01 00:12:00,30,11.8,-100.02848840663826
1974-12-01 00:12:00,31,13.1,-99.98022099180581
1974-12-01 00:13:00,0,0.025,-99.89107825032892
1974-12-01 00:13:00,1,0.035,-99.86723138677323
1974-12-01 00:13:00,2,0.044,-100.00691379347262
1974-12-01 00:13:00,3,0.055,-99.86464141104307
1974-12-01 00:13:00,4,0.067,-99.9907873341566
1974-12-01 00:13:00,5,0.083,-100.08373982238274
1974-12-01 00:13:00,6,0.096,-100.05944003521988
1974-12-01 00:13:00,7,0.11,-100.1480536512565
1974-12-01 00:13:00,8,0.13,-100.08881338537337
1974-12-01 00:13:00,9,0.155,-100.03580166880744
1974-12-01 00:13:00,10,0.185,-100.91964149806213
1974-12-01 00:13:00,11,0.21,-100.8279230168834
1974-12-01 00:13:00,12,0.25,-101.1382181515377
1974-12-01 00:13:00,13,0.292,-99.96071725317401
1974-12-01 00:13:00,14,0.36,-100.10405439391576
1974-12-01 00:13:00,15,0.425,-99.95253029115368
1974-12-01 00:13:00,16,0.475,-100.01310866506877
1974-12-01 00:13:00,17,0.6,-100.18309058258475
1974-12-01 00:13:00,18,0.737,-99.90717030084315
1974-12-01 00:13:00,19,0.87,-100.06050007128087
1974-12-01 00:13:00,20,1.03,-100.05339002383735
1974-12-01 00:13:00,21,1.27,-100.10697524112896
1974-12-01 00:13:00,22,1.45,-100.06542832766876
1974-12-01 00:13:00,23,1.85,-99.9572109559305
1974-12-01 00:13:00,24,2.2,-100.01892443409363
1974-12-01 00:13:00,25,2.8,-99.96713379977176
1974-12-01 00:13:00,26,3.93,-99.96380781460712
1974-12-01 00:13:00,27,4.7,-99.86793383444719
1974-12-01 00:13:00,28,6.55,-100.03427861508644
1974-12-01 00:13:00,29,9.18,-100.14768578168457
1974-12-01 00:13:00,30,11.8,-99.8932777583428
1974-12-01 00:13:00,31,13.1,-100.03314881720972
1974-12-01 00:14:00,0,0.025,-99.88854075554227
1974-12-01 00:14:00,1,0.035,-99.96166228868175
1974-12-01 00:14:00,2,0.044,-100.01311375302033
1974-12-01 00:14:00,3,0.055,-99.96512241059537
1974-12-01 00:14:00,4,0.067,-99.80489874398737
1974-12-01 00:14:00,5,0.083,-99.79230194709463
1974-12-01 00:14:00,6,0.096,-99.99306188648673
1974-12-01 00:14:00,7,0.11,-99.98398094066829
1974-12-01 00:14:00,8,0.13,-99.89237598425336
1974-12-01 00:14:00,9,0.155,-100.08456610327673
1974-12-01 00:14:00,10,0.185,-100.96669296273818
1974-12-01 00:14:00,11,0.21,-101.00258628479538
1974-12-01 00:14:00,12,0.25,-100.96860917885425
1974-12-01 00:14:00,13,0.292,-100.08333688059494
1974-12-01 00:14:00,14,0.36,-100.1589567493309
1974-12-01 00:14:00,15,0.425,-100.20729834359913
1974-12-01 00:14:00,16,0.475,-100.11173841129896
1974-12-01 00:14:00,17,0.6,-100.04586752849393
1974-12-01 00:14:00,18,0.737,-100.02931915866488
1974-12-01 00:14:00,19,0.87,-99.80627688375705
1974-12-01 00:14:00,20,1.03,-99.88940066300927
1974-12-01 00:14:00,21,1.27,-100.09620911163417
1974-12-01 00:14:00,22,1.45,-99.96522915475491
1974-12-01 00:14:00,23,1.85,-100.04070782363503
1974-12-01 00:14:00,24,2.2,-100.028436383804
1974-12-01 00:14:00,25,2.8,-99.98146743505846
1974-12-01 00:14:00,26,3.93,-99.93808288830246
1974-12-01 00:14:00,27,4.7,-100.0339258483884
1974-12-01 00:14:00,28,6.55,-99.89361484672656
1974-12-01 00:14:00,29,9.18,-100.11419382261424
1974-12-01 00:14:00,30,11.8,-99.99936609376377
1974-12-01 00:14:00,31,13.1,-99.74023262734042
1974-12-01 00:15:00,0,0.025,-99.97769202573747
1974-12-01 00:15:00,1,0.035,-99.85667854933938
1974-12-01 00:15:00,2,0.044,-99.99084798218269
1974-12-01 00:15:00,3,0.055,-99.94192229046702
1974-12-01 00:15:00,4,0.067,-100.00567831943927
1974-12-01 00:15:00,5,0.083,-100.01704075811642
1974-12-01 00:15:00,6,0.096,-100.07794823967254
1974-12-01 00:15:00,7,0.11,-99.95696986410424
1974-12-01 00:15:00,8,0.13,-100.08515371891858
1974-12-01 00:15:00,9,0.155,-99.93344147636866
1974-12-01 00:15:00,10,0.185,-100.8914712995554
1974-12-01 00:15:00,11,0.21,-100.96334685927627
1974-12-01 00:15:00,12,0.25,-101.02862487335557
1974-12-01 00:15:00,13,0.292,-99.95460344206913
1974-12-01 00:15:00,14,0.36,-100.03086730555464
1974-12-01 00:15:00,15,0.425,-99.90644528745348
1974-12-01 00:15:00,16,0.475,-100.18314060842151
1974-12-01 00:15:00,17,0.6,-100.03356073681186
