target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value,perm_rep
Sag-A,fixed,rv2_coarse,4,1.31,728,3943,2104562.604653159,2094361.7308045905,-10200.873848568648,-0.0402476158160312,0.9678957164292357,0
Sag-A,fixed,rv2_coarse,5,2.2,737,4120,2268583.020522388,2808976.142384709,540393.1218623207,1.791530886927932,0.07320814266936915,0
Sag-A,fixed,rv2_coarse,6,3.93,703,3945,1456514.0931721195,1631527.134743346,175013.04157122644,0.6436824665154477,0.5197813619029295,0
Sag-A,fixed,rv2_coarse,7,4.7,684,4048,444009.30381944444,2585678.763228586,2141669.4594091414,1.453290720769283,0.14614305258385185,0
Sag-A,fixed,rv2_coarse,8,6.55,649,3887,28610135.031009246,179199934.37805808,150589799.34704882,0.8462548027512526,0.39741061562956315,0
Sag-A,fixed,rv2_coarse,9,9.18,759,4351,163834370.55936575,362970608.2134971,199136237.65413135,0.8973328541085314,0.3695413302913897,0
Mercury,planet,rv2_coarse,1,0.45,780,4314,909083638.0229167,2116207849.5692658,1207124211.546349,1.583401728640783,0.11332992924358365,0
Mercury,planet,rv2_coarse,2,0.7,734,3979,8140451.284741145,357192920.4121749,349052469.1274337,1.2962729062837006,0.19488147948850454,0
Mercury,planet,rv2_coarse,3,0.9,693,4034,53261380.57449495,3068282.5123326723,-50193098.06216228,-0.9950329560491449,0.31972023607228284,0
Mercury,planet,rv2_coarse,4,1.31,681,3990,1825177.818832599,2142166.362437343,316988.54360474413,1.334821426192703,0.18193479911919264,0
Mercury,planet,rv2_coarse,5,2.2,805,4052,4371117.990760869,2400339.9334125123,-1970778.057348357,-1.4128939453519123,0.15768690961127962,0
Mercury,planet,rv2_coarse,6,3.93,709,3939,1553327.8665373765,1614367.7320861893,61039.865548812784,0.3349336756636704,0.737675118285058,0
Mercury,planet,rv2_coarse,7,4.7,736,3996,3557761.8666779893,2040044.360231936,-1517717.5064460533,-0.4397145210189386,0.6601438840992764,0
Mercury,planet,rv2_coarse,8,6.55,716,3820,2416942.228608371,186750678.5149092,184333736.28630084,1.0239520657151735,0.3058579162201571,0
Mercury,planet,rv2_coarse,9,9.18,776,4334,3394854.400768162,392478310.2391528,389083455.8383846,2.52519634595244,0.011563366363786853,0
Venus,planet,rv2_coarse,1,0.45,1028,4066,1583069757.7117584,2019431920.750615,436362163.0388565,0.5180570175856392,0.6044184882428656,0
Venus,planet,rv2_coarse,2,0.7,970,3743,15570814.53814433,377275455.90730536,361704641.369161,1.263460392391524,0.206423772147867,0
Venus,planet,rv2_coarse,3,0.9,1004,3723,2480421.244086155,12569767.785069164,10089346.540983008,1.0703278474403788,0.28447176394771745,0
Venus,planet,rv2_coarse,4,1.31,961,3710,1756803.4493366284,2183801.015077493,426997.5657408647,1.7327772083860278,0.08313527532525056,0
Venus,planet,rv2_coarse,5,2.2,1038,3819,2202259.647398844,2869594.626538361,667334.9791395171,1.9850325885100197,0.04714084588457812,0
Venus,planet,rv2_coarse,6,3.93,969,3679,1681655.856875645,1584881.6060750203,-96774.25080062472,-0.3466952314216358,0.7288202930641696,0
Venus,planet,rv2_coarse,7,4.7,945,3787,2848400.5542849908,2133295.87366319,-715104.680621801,-0.25001307883229323,0.8025772343157827,0
Venus,planet,rv2_coarse,8,6.55,981,3555,2786319.183040265,200389519.95613903,197603200.77309877,1.0215255122550129,0.30700552822375626,0
Venus,planet,rv2_coarse,9,9.18,1070,4040,97664797.82433192,395825264.83154684,298160467.0072149,1.6678129027847948,0.09535287370928702,0
Mars,planet,rv2_coarse,1,0.45,906,4188,2978894723.38245,1704758185.6053457,-1274136537.7771044,-0.8044344978240173,0.4211460844343331,0
Mars,planet,rv2_coarse,2,0.7,865,3848,61479014.31681381,357085856.0756237,295606841.75880986,1.049838616971389,0.29379231719051857,0
Mars,planet,rv2_coarse,3,0.9,836,3891,2290694.248504785,12174908.250096377,9884214.001591593,1.096339497138842,0.27293023063781896,0
Mars,planet,rv2_coarse,4,1.31,848,3823,2007800.1927329008,2115504.9221324874,107704.72939958656,0.4176091483795489,0.6762329069500528,0
Mars,planet,rv2_coarse,5,2.2,921,3936,2371300.2077225843,2810203.226991235,438903.01926865056,1.3380019118739734,0.18089581355387407,0
Mars,planet,rv2_coarse,6,3.93,802,3846,1230372.979894015,1683188.9818480238,452816.0019540088,3.0281659885889023,0.0024604290092113956,0
Mars,planet,rv2_coarse,7,4.7,806,3926,432122.3290942928,2654671.2684951136,2222548.939400821,1.4636563763603905,0.14328786043931085,0
Mars,planet,rv2_coarse,8,6.55,787,3749,23742770.097318735,185764887.30222642,162022117.2049077,0.8800970939331214,0.3788067133037951,0
Mars,planet,rv2_coarse,9,9.18,931,4179,532521454.9161268,289030373.0712061,-243491081.8449207,-0.5568856199257021,0.5776055801930842,0
Jupiter,planet,rv2_coarse,1,0.45,481,4613,4295308027.107458,1684882449.5254714,-2610425577.5819864,-0.9693816997818867,0.3323547795698425,0
Jupiter,planet,rv2_coarse,2,0.7,473,4240,95491314.56871036,325961870.2292557,230470555.66054532,0.8715173896589565,0.3834717150865776,0
Jupiter,planet,rv2_coarse,3,0.9,487,4240,1680842.8887320329,11431372.14765625,9750529.258924218,1.1786173471996624,0.23855058088021863,0
Jupiter,planet,rv2_coarse,4,1.31,484,4187,1669124.2490960744,2145291.078143659,476166.8290475847,2.199021262100918,0.027876410487149617,0
Jupiter,planet,rv2_coarse,5,2.2,541,4316,1113519.619108133,2929219.9441178176,1815700.3250096845,6.712420575871877,1.9142243345982024e-11,0
Jupiter,planet,rv2_coarse,6,3.93,494,4154,1180822.493674089,1655507.3765497112,474684.88287562225,3.26386520969979,0.001099034379775654,0
Jupiter,planet,rv2_coarse,7,4.7,473,4259,447351.40155919665,2479204.6922808914,2031853.2907216947,1.4469111961451366,0.14792179695661245,0
Jupiter,planet,rv2_coarse,8,6.55,441,4095,41478768.63639987,170165075.84712684,128686307.21072698,0.7556089367503188,0.4498836962138639,0
Jupiter,planet,rv2_coarse,9,9.18,570,4540,2576703.4052357455,374926582.08160794,372349878.6763722,2.5313205683228137,0.01136339408953324,0
Saturn,planet,rv2_coarse,1,0.45,933,4161,2109984861.6617765,1891321803.5975127,-218663058.06426382,-0.22303513420951893,0.823508162000467,0
Saturn,planet,rv2_coarse,2,0.7,847,3866,14881112.224321133,365918628.946985,351037516.7226639,1.2664537585169569,0.20535067476331648,0
Saturn,planet,rv2_coarse,3,0.9,918,3809,2376998.936138344,12366895.082567602,9989896.14642926,1.0844625203251983,0.27815977619477117,0
Saturn,planet,rv2_coarse,4,1.31,864,3807,1856955.8618344907,2150191.7562713423,293235.8944368516,1.199292319279639,0.23041430060890034,0
Saturn,planet,rv2_coarse,5,2.2,954,3903,4258540.190448113,2352621.073805406,-1905919.1166427066,-1.6089586957058104,0.10762537357111523,0
Saturn,planet,rv2_coarse,6,3.93,902,3746,1613875.1271480045,1602933.4194807794,-10941.70766722504,-0.037694008449560196,0.9699316531682063,0
Saturn,planet,rv2_coarse,7,4.7,873,3859,3062222.3269616268,2098266.3658782886,-963955.9610833381,-0.3186958891875866,0.7499571321946492,0
Saturn,planet,rv2_coarse,8,6.55,881,3655,2578270.6114500565,195033287.59341976,192455016.9819697,1.0228924495564415,0.3063586998333465,0
Saturn,planet,rv2_coarse,9,9.18,961,4149,108547344.7125756,385471536.59260046,276924191.88002485,1.5539669731347243,0.12019229481444982,0
Uranus,planet,rv2_coarse,1,0.45,122,4972,72500692.43391393,1976983269.5540526,1904482577.1201386,4.039508746329445,5.356327069283573e-05,0
Uranus,planet,rv2_coarse,2,0.7,97,4616,13270004.25773196,308916492.8834584,295646488.6257264,1.2736291692456212,0.2027948695989319,0
Uranus,planet,rv2_coarse,3,0.9,91,4636,7638200.723214285,10481559.992895275,2843359.26968099,0.3289297461746913,0.7422087900268524,0
Uranus,planet,rv2_coarse,4,1.31,89,4582,2454951.5905898875,2088978.4350038192,-365973.1555860683,-0.6213791596861575,0.5343501808224693,0
Uranus,planet,rv2_coarse,5,2.2,83,4774,7565731.137048192,2642851.216668412,-4922879.92037978,-4.206595976647441,2.59246011911074e-05,0
Uranus,planet,rv2_coarse,6,3.93,92,4556,552278.8335597826,1626315.693892669,1074036.8603328862,10.858040607946736,0.0,0
Uranus,planet,rv2_coarse,7,4.7,92,4640,513144.0129076087,2311060.506072051,1797916.4931644422,1.4003675332634526,0.16140328713242313,0
Uranus,planet,rv2_coarse,8,6.55,86,4450,4145666.1467114827,160620583.20764485,156474917.06093338,1.012346305526747,0.31137250184377585,0
Uranus,planet,rv2_coarse,9,9.18,101,5009,2458073452.0128016,290551005.1783173,-2167522446.834484,-0.8871190126869571,0.3750148288668145,0
Neptune,planet,rv2_coarse,1,0.45,1292,3802,1001061523.6189048,2247510366.171505,1246448842.5526001,1.721788322263989,0.08510787077153159,0
Neptune,planet,rv2_coarse,2,0.7,1220,3493,258729920.06393442,318235104.2327638,59505184.16882941,0.15576758640312693,0.876216221009515,0
Neptune,planet,rv2_coarse,3,0.9,1253,3474,2478737.7172785318,13293531.961175878,10814794.243897345,1.070881984788439,0.28422249715421066,0
Neptune,planet,rv2_coarse,4,1.31,1199,3472,2601421.9747706424,1921395.4300115206,-680026.5447591217,-0.9147572422980803,0.36031908610511953,0
Neptune,planet,rv2_coarse,5,2.2,1217,3640,2349731.112623254,2853105.6672218405,503374.55459858663,1.4469671693558515,0.14790611884861216,0
Neptune,planet,rv2_coarse,6,3.93,1167,3481,1723681.2552485005,1565288.1152506464,-158393.13999785413,-0.6225088222985756,0.5336073444872589,0
Neptune,planet,rv2_coarse,7,4.7,1199,3533,4834616.9753330415,1407818.9198804132,-3426798.055452628,-0.7594749954878084,0.44756846619968327,0
Neptune,planet,rv2_coarse,8,6.55,1216,3320,2328123.4176057517,214544314.6044663,212216191.18686053,1.0245619562154904,0.30556992302001573,0
Neptune,planet,rv2_coarse,9,9.18,1281,3829,234326768.38545936,366535077.9027712,132208309.51731181,0.5042251864967527,0.6141031433193167,0
Earth,earth,rv2_coarse,1,0.45,832,4262,872622186.9397537,2138053552.5963895,1265431365.6566358,1.5245941161452587,0.12736036588095057,0
Earth,earth,rv2_coarse,2,0.7,734,3979,10452069.153950954,356766499.82509273,346314430.6711418,1.286085644330236,0.198413173633047,0
Earth,earth,rv2_coarse,3,0.9,704,4023,52064248.176047586,3140531.363891996,-48923716.81215559,-0.9852462212453563,0.3245031417482629,0
Earth,earth,rv2_coarse,4,1.31,731,3940,1819755.4256155952,2147195.0925444164,327439.66692882124,1.3480952101202563,0.1776277618300801,0
Earth,earth,rv2_coarse,5,2.2,810,4047,2295931.548611111,2813250.0218371633,517318.47322605224,1.611068373082232,0.10716482079061751,0
Earth,earth,rv2_coarse,6,3.93,741,3907,1571322.4520074225,1611454.829056821,40132.37704939861,0.22520325361010443,0.821821158445351,0
Earth,earth,rv2_coarse,7,4.7,780,3952,372767.00376602565,2651764.102840161,2278997.0990741355,1.5126812446661873,0.13036064589318253,0
Earth,earth,rv2_coarse,8,6.55,710,3826,2487632.0451419456,186448485.05242705,183960853.00728512,1.0234850850194561,0.3060785483419033,0
Earth,earth,rv2_coarse,9,9.18,820,4290,303622011.8765053,339082833.0659091,35460821.18940377,0.10594265381041186,0.9156278516302898,0
Fornax-A,fixed,rv2_coarse,1,0.45,1251,3843,1418671208.2805257,2098269117.6530704,679597909.3725448,0.804398052811519,0.42116712538336865,1
Fornax-A,fixed,rv2_coarse,2,0.7,1133,3580,11453821.067078553,395047078.8530849,383593257.7860064,1.2817070434642495,0.199945433205597,1
Fornax-A,fixed,rv2_coarse,3,0.9,1155,3572,33120883.68246753,3088736.769211926,-30032146.913255606,-0.9915758685707639,0.32140446572232406,1
Fornax-A,fixed,rv2_coarse,4,1.31,1139,3532,1758694.5764376647,2204710.293937571,446015.7174999062,1.715306967639369,0.08628896178381784,1
Fornax-A,fixed,rv2_coarse,5,2.2,1146,3711,3434620.5615728623,2508448.4584175423,-926172.10315532,-1.079888108882372,0.2801920090857344,1
Fornax-A,fixed,rv2_coarse,6,3.93,1154,3494,1676827.6893955807,1581352.261161992,-95475.42823358858,-0.5144542160741198,0.6069344623818762,1
Fornax-A,fixed,rv2_coarse,7,4.7,1160,3572,386554.27403017244,2889733.21374211,2503178.9397119377,1.5017339647723713,0.13316582847766578,1
Fornax-A,fixed,rv2_coarse,8,6.55,1040,3496,663072714.1889648,7300486.214563295,-655772227.9744016,-0.9922376785523997,0.3210815964210636,1
Fornax-A,fixed,rv2_coarse,9,9.18,1261,3849,393904580.2422061,313567609.2247499,-80336971.01745617,-0.23695186017275716,0.8126941367761269,1
Cygnus-A,fixed,rv2_coarse,1,0.45,28,5066,5558548.544642857,1942015448.3498693,1936456899.8052263,4.190597888676992,2.782203501605629e-05,1
Cygnus-A,fixed,rv2_coarse,2,0.7,17,4696,2217197.1764705884,303919938.0773092,301702740.9008386,1.3222913948621802,0.18607113711154932,1
Cygnus-A,fixed,rv2_coarse,3,0.9,24,4703,2637188.6067708335,10466573.647950776,7829385.041179942,1.043356486475158,0.2967832186495847,1
Cygnus-A,fixed,rv2_coarse,4,1.31,26,4645,5408484.615384615,2077409.963562971,-3331074.651821644,-1.0331915023454388,0.30151428880439557,1
Cygnus-A,fixed,rv2_coarse,5,2.2,25,4832,2167037.1125,2729874.061452297,562836.9489522972,0.7920295142292112,0.42834346714788984,1
Cygnus-A,fixed,rv2_coarse,6,3.93,16,4632,568617.875,1608636.8886145293,1040019.0136145293,9.421150444856327,0.0,1
Cygnus-A,fixed,rv2_coarse,7,4.7,20,4712,314299.68125,2284432.0890782718,1970132.4078282719,1.5584386092832023,0.11912931018611905,1
Cygnus-A,fixed,rv2_coarse,8,6.55,14,4522,841525.9241071428,158139394.33872163,157297868.4146145,1.0343267278199277,0.3009834458287166,1
Cygnus-A,fixed,rv2_coarse,9,9.18,27,5083,951018.4282407408,335158317.1540275,334207298.7257868,2.5437118758490054,0.010968151528531367,1
Sag-A,fixed,rv2_coarse,1,0.45,755,4339,954950595.5523179,2101271767.9321704,1146321172.3798525,1.6155579051398765,0.10618993131374643,1
Sag-A,fixed,rv2_coarse,2,0.7,744,3969,10815486.668010753,357570924.53566235,346755437.8676516,1.2844786673873974,0.19897452308752506,1
Sag-A,fixed,rv2_coarse,3,0.9,662,4065,1995363.592239426,11799915.792081796,9804552.19984237,1.136260346553146,0.25584762112924064,1
Sag-A,fixed,rv2_coarse,4,1.31,694,3977,1907077.2210914986,2128910.8094826504,221833.58839115174,0.9643678933471669,0.33486151313464685,1
Sag-A,fixed,rv2_coarse,5,2.2,722,4135,2230072.1360803326,2813740.0992744863,583667.9631941537,1.9761830328420702,0.04813405086149114,1
Sag-A,fixed,rv2_coarse,6,3.93,722,3926,1278692.4407894737,1665075.9072370096,386383.4664475359,2.0961344302144638,0.036070267519438426,1
Sag-A,fixed,rv2_coarse,7,4.7,685,4047,2261967.074178832,2278498.283061358,16531.20888252603,0.007150346190447159,0.9942948977848434,1
Sag-A,fixed,rv2_coarse,8,6.55,698,3838,13668311.024886955,183839927.42763564,170171616.40274867,0.947991468851467,0.3431337972845028,1
Sag-A,fixed,rv2_coarse,9,9.18,782,4328,32594713.35155251,387741760.108727,355147046.7571745,2.2653172116347133,0.023493220585937946,1
Mercury,planet,rv2_coarse,1,0.45,810,4284,1024512277.8555555,2102836357.5249038,1078324079.6693482,1.307551448899611,0.1910254936322171,1
Mercury,planet,rv2_coarse,2,0.7,724,3989,14807547.013872853,355107810.8611181,340300263.8472452,1.266707925067071,0.2052597452255951,1
Mercury,planet,rv2_coarse,3,0.9,705,4022,2179561.52464539,11872450.89955246,9692889.37490707,1.1109148376634963,0.2666050081485998,1
Mercury,planet,rv2_coarse,4,1.31,705,3966,1884526.6631205673,2133534.690683308,249008.02756274072,1.0164170102788235,0.3094308487204751,1
Mercury,planet,rv2_coarse,5,2.2,755,4102,2586555.5375,2752822.5163182593,166266.9788182592,0.48882271382275455,0.6249672158033284,1
Mercury,planet,rv2_coarse,6,3.93,682,3966,1523919.8911290322,1619009.225494831,95089.33436579886,0.5591594087537338,0.5760529328099231,1
Mercury,planet,rv2_coarse,7,4.7,745,3987,398012.2480704698,2627040.600087614,2229028.3520171437,1.492517972322779,0.1355634093097111,1
Mercury,planet,rv2_coarse,8,6.55,738,3798,2193812.0492409808,187861792.85684487,185667980.8076039,1.0254251709835847,0.3051626163997474,1
Mercury,planet,rv2_coarse,9,9.18,766,4344,426522117.094826,316970410.1972485,-109551706.89757746,-0.2662070465094587,0.7900797564457218,1
Venus,planet,rv2_coarse,1,0.45,1039,4055,2954698545.060515,1669167475.3099415,-1285531069.7505734,-0.8283496810714113,0.4074724946781454,1
Venus,planet,rv2_coarse,2,0.7,982,3731,17986074.66191446,377803108.0796151,359817033.41770065,1.252848877238188,0.21026070989433432,1
Venus,planet,rv2_coarse,3,0.9,1018,3709,2437527.3045186643,12619624.048766514,10182096.74424785,1.076249425923622,0.28181572028812196,1
Venus,planet,rv2_coarse,4,1.31,940,3731,2770017.319481383,1926125.3284474672,-843891.9910339159,-0.8931725225621981,0.3717647903909622,1
Venus,planet,rv2_coarse,5,2.2,1035,3822,2789346.5108695654,2710087.3244374674,-79259.18643209804,-0.11999733417328821,0.9044852597215873,1
Venus,planet,rv2_coarse,6,3.93,963,3685,1691058.1268172378,1582582.083565129,-108476.04325210885,-0.35197347161834824,0.7248581576350537,1
Venus,planet,rv2_coarse,7,4.7,999,3733,366429.94832332333,2787159.517542678,2420729.5692193545,1.5177654386606032,0.12907354069291355,1
Venus,planet,rv2_coarse,8,6.55,953,3583,2532864.672161923,198912727.47141123,196379862.7992493,1.0231980463286448,0.3062142164722297,1
Venus,planet,rv2_coarse,9,9.18,1037,4073,96453494.9303241,393717930.1126291,297264435.182305,1.6659687873257614,0.09571963139395256,1
Mars,planet,rv2_coarse,1,0.45,930,4164,712537477.8801075,2203589348.287989,1491051870.4078817,2.3242092605071973,0.020114281224937303,1
Mars,planet,rv2_coarse,2,0.7,840,3873,1284936277.607143,89826813.41932455,-1195109464.1878183,-0.9735695491680962,0.33027031193639167,1
Mars,planet,rv2_coarse,3,0.9,839,3888,2469035.453739571,12144050.320778677,9675014.867039107,1.0711362339823514,0.28410817810050104,1
Mars,planet,rv2_coarse,4,1.31,826,3845,1963838.2989558112,2124332.7557379715,160494.45678216033,0.63415845422124,0.5259774178552106,1
Mars,planet,rv2_coarse,5,2.2,899,3958,2160500.26974416,2855643.671109146,695143.4013649859,2.2873679245732443,0.022174356856281552,1
Mars,planet,rv2_coarse,6,3.93,849,3799,1381139.3797114252,1655097.820660042,273958.44094861695,1.4646561907398519,0.14301474309789386,1
Mars,planet,rv2_coarse,7,4.7,807,3925,442164.9762236679,2653172.7035794435,2211007.7273557754,1.4556680091378982,0.14548441754226515,1
Mars,planet,rv2_coarse,8,6.55,802,3734,11869189.023008885,188965997.04504114,177096808.02203226,0.9603571919081539,0.3368754751112859,1
Mars,planet,rv2_coarse,9,9.18,910,4200,3290819.475433551,404914466.1592476,401623646.68381405,2.5260428821960086,0.011535539980578546,1
Jupiter,planet,rv2_coarse,1,0.45,478,4616,843459225.0039226,2044027814.373443,1200568589.3695202,1.6047227342065824,0.10855483648390041,1
Jupiter,planet,rv2_coarse,2,0.7,495,4218,2166878773.212121,84077934.76127169,-2082800838.4508493,-1.0016730708780544,0.31650151683379324,1
Jupiter,planet,rv2_coarse,3,0.9,443,4284,1688209.151241535,11330464.92504085,9642255.773799315,1.1776460141797758,0.23893775747626278,1
Jupiter,planet,rv2_coarse,4,1.31,495,4176,1714514.093308081,2141165.0872994494,426650.99399136845,1.9597865645483887,0.05002074225370001,1
Jupiter,planet,rv2_coarse,5,2.2,522,4335,1099802.232638889,2922913.6395184547,1823111.4068795657,6.774474882286692,1.2485790179539435e-11,1
Jupiter,planet,rv2_coarse,6,3.93,484,4164,1484894.4591942148,1619023.7838166426,134129.3246224278,0.5408647194146486,0.588600830073702,1
Jupiter,planet,rv2_coarse,7,4.7,464,4268,440025.9932650862,2475716.4799641087,2035690.4866990224,1.4524230184364362,0.14638401979279658,1
Jupiter,planet,rv2_coarse,8,6.55,480,4056,2241626.898429362,176045892.91207856,173804266.0136492,1.0250977131808527,0.30531708445848893,1
Jupiter,planet,rv2_coarse,9,9.18,583,4527,5255721.142166059,375650832.3758784,370395111.2337123,2.510594350365471,0.012052810864436658,1
Saturn,planet,rv2_coarse,1,0.45,944,4150,3238430456.992982,1634054831.15622,-1604375625.836762,-0.947269012484459,0.3435017167737824,1
Saturn,planet,rv2_coarse,2,0.7,869,3844,17376496.40506329,367363565.60537046,349987069.2003072,1.2554804900787917,0.2093043861787136,1
Saturn,planet,rv2_coarse,3,0.9,924,3803,2295426.9979031384,12402475.373866027,10107048.375962889,1.0956365006750073,0.2732378815278913,1
Saturn,planet,rv2_coarse,4,1.31,854,3817,3001105.248755855,1893436.206002751,-1107669.0427531041,-1.0640863879628524,0.28728956666365324,1
Saturn,planet,rv2_coarse,5,2.2,911,3946,2729855.1839324916,2726312.5494646477,-3542.63446784392,-0.009813749124383956,0.9921698867762023,1
Saturn,planet,rv2_coarse,6,3.93,866,3782,1390478.5389722863,1654190.782472898,263712.24350061174,1.1611893138020764,0.24556491955585447,1
Saturn,planet,rv2_coarse,7,4.7,928,3804,377238.2433324353,2739340.932583942,2362102.6892515067,1.5091598538067517,0.13125793685194398,1
Saturn,planet,rv2_coarse,8,6.55,890,3646,2941804.250983146,195419615.13419136,192477810.88320822,1.0204958953564773,0.30749333495723397,1
Saturn,planet,rv2_coarse,9,9.18,947,4163,417943244.6772002,314158815.9697756,-103784428.70742458,-0.2945146647064479,0.7683646592547526,1
Uranus,planet,rv2_coarse,1,0.45,117,4977,2325528220.38141,1922105505.1065023,-403422715.2749078,-0.17578677479545293,0.860461460028062,1
Uranus,planet,rv2_coarse,2,0.7,104,4609,24709784.548076924,309107377.7327064,284397593.1846295,1.2222377045353,0.221617749286517,1
Uranus,planet,rv2_coarse,3,0.9,91,4636,3910145.0755494507,10554737.961820535,6644592.886271085,0.8716369464079001,0.3834064683250964,1
Uranus,planet,rv2_coarse,4,1.31,90,4581,2292252.326388889,2092094.9948428292,-200157.3315460598,-0.5964521792970812,0.5508731911935565,1
Uranus,planet,rv2_coarse,5,2.2,104,4753,5859216.337139423,2658440.7518803915,-3200775.5852590315,-5.473052274232927,4.423495569838565e-08,1
Uranus,planet,rv2_coarse,6,3.93,73,4575,583885.716609589,1621350.8845355192,1037465.1679259301,10.523158601300837,0.0,1
Uranus,planet,rv2_coarse,7,4.7,81,4651,611380.925925926,2305097.429017806,1693716.5030918801,1.3150876758970091,0.18848043799451508,1
Uranus,planet,rv2_coarse,8,6.55,97,4439,951180.4452319588,161078138.78338572,160126958.33815378,1.033605211903984,0.3013207618612568,1
Uranus,planet,rv2_coarse,9,9.18,96,5014,3514123.6360677085,339708425.9518193,336194302.3157516,2.5237446129099275,0.011611224772917872,1
Neptune,planet,rv2_coarse,1,0.45,1260,3834,3230398159.1849704,1504461194.6078835,-1725936964.577087,-1.3100158481724213,0.19019047431206904,1
Neptune,planet,rv2_coarse,2,0.7,1185,3528,263085497.5864979,316181804.6834025,53096307.096904576,0.13813518798207716,0.8901335763510776,1
Neptune,planet,rv2_coarse,3,0.9,1256,3471,2492105.969794984,13298041.859640593,10805935.88984561,1.0690249786671358,0.28505841413202404,1
Neptune,planet,rv2_coarse,4,1.31,1198,3473,2621265.415014608,1914746.3039339187,-706519.1110806891,-0.9525923698512406,0.3407966446871389,1
Neptune,planet,rv2_coarse,5,2.2,1287,3570,2790313.7197940946,2704143.875455182,-86169.84433891252,-0.1532847124566808,0.8781737558942746,1
Neptune,planet,rv2_coarse,6,3.93,1192,3456,1836406.169043624,1525262.6737738715,-311143.4952697526,-1.1465602053718396,0.25156343129039005,1
Neptune,planet,rv2_coarse,7,4.7,1200,3532,4817736.652593181,1412583.8092440544,-3405152.843349126,-0.7552836554325388,0.45007880348065177,1
Neptune,planet,rv2_coarse,8,6.55,1192,3344,10942618.49642801,209950514.74727708,199007896.25084907,0.9670372374736812,0.33352541877425645,1
Neptune,planet,rv2_coarse,9,9.18,1274,3836,613985567.1812942,240202760.9495609,-373782806.2317333,-0.9972739235607798,0.3186315674465565,1
Earth,earth,rv2_coarse,1,0.45,847,4247,594067244.2088252,2198076511.6211004,1604009267.4122753,2.4583419968322398,0.0139580181585508,1
